beds,baths,sizes,size_units,price
3,2.5,2590,sqft,795000
4,2,2240,sqft,915000
4,3,2040,sqft,950000
4,3,3800,sqft,1950000
2,2,1042,sqft,950000
2,2,1190,sqft,740000
1,1,670,sqft,460000
5,3.5,4510,sqft,3150000
3,2.5,1520,sqft,565000
4,2,2340,sqft,699000
3,2,1320,sqft,899000
3,2,1800,sqft,1050000
3,2.5,2490,sqft,935625
4,3,2650,sqft,1511000
5,1.5,2560,sqft,1330000
2,1.5,900,sqft,549755
3,3.5,1360,sqft,700000
1,1,550,sqft,330000
3,2.5,2974,sqft,1750000
4,3.5,1989,sqft,980000
2,2,1332,sqft,845000
4,3,2668,sqft,1213000
2,1,770,sqft,530000
3,1.5,1280,sqft,625000
5,3.5,3200,sqft,1275000
2,1.5,889,sqft,680000
1,1,508,sqft,325000
3,2,3140,sqft,1219700
4,2,2000,sqft,907200
1,1,792,sqft,517000
3,2.5,1690,sqft,760000
4,5.5,3000,sqft,1484000
3,3,1550,sqft,950000
2,2,871,sqft,430000
4,1.5,1940,sqft,520000
1,1,474,sqft,335000
3,2,1770,sqft,805000
5,5,2510,sqft,1000000
1,1,750,sqft,375000
1,1,573,sqft,390000
3,2.5,1500,sqft,1070000
5,4,2920,sqft,948000
3,2,2817,sqft,912000
1,1,617,sqft,480000
2,2,1280,sqft,776000
2,2,1523,sqft,1395000
2,1,1240,sqft,750000
4,2.5,2280,sqft,1065000
5,3.5,3590,sqft,2350000
4,3.5,2478,sqft,1580000
3,3,2360,sqft,1775000
2,1,720,sqft,600000
3,2,2480,sqft,800000
3,2,1550,sqft,1100000
2,1,780,sqft,750000
5,3,2820,sqft,865000
5,3,2900,sqft,1450000
2,2,1092,sqft,829000
3,2,1731,sqft,575000
3,2.5,1500,sqft,860000
2,2.5,1344,sqft,770000
4,5.5,4040,sqft,5495000
5,3,2320,sqft,560000
5,3,2820,sqft,900000
3,1,1070,sqft,575000
2,1,1113,sqft,595000
4,2,2100,sqft,950000
3,2.5,2620,sqft,1300000
3,2,1270,sqft,727000
3,2,2702,sqft,1605000
4,3.5,2031,sqft,1480000
3,2,2350,sqft,888000
4,1.5,2640,sqft,1850000
3,1.5,1340,sqft,615000
6,3.5,8660,sqft,4100000
2,2.5,1365,sqft,525000
1,1,635,sqft,509950
3,1,1800,sqft,549000
2,1,870,sqft,555000
3,3.5,1510,sqft,660000
3,1,1120,sqft,615000
4,2.5,2580,sqft,1635000
2,2,875,sqft,420000
3,4,2220,sqft,1650000
1,1,607,sqft,427000
3,2,1496,sqft,910000
4,3.5,2670,sqft,1022700
2,1.5,1810,sqft,925000
1,1,582,sqft,360000
2,2,1006,sqft,928000
3,5.5,1530,sqft,635000
2,1,820,sqft,490000
3,2,1960,sqft,950000
4,3,2110,sqft,760000
4,3.5,3010,sqft,985000
3,1,2200,sqft,1250000
3,2.5,1820,sqft,690000
4,4,3040,sqft,1585000
3,2,1800,sqft,936000
